name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,category,n_observations,source,food_id,protein_density,fiber_density,protein_frac,carb_frac,fat_frac
Butter (1 tbsp),breakfast,100.0,0.1,0.0,11.0,0.0,0.0,82.0,30.0,Condiment/Dairy,1,Kaggle Daily Food & Nutrition,butter_1_tbsp__breakfast,0.1,0.0,0.004024144869215292,0.0,0.9959758551307847
Canadian Bacon (2 slices),breakfast,80.0,12.0,1.0,3.0,0.0,1.0,650.0,40.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,canadian_bacon_2_slices__breakfast,15.0,0.0,0.6075949367088608,0.05063291139240506,0.34177215189873417
Century Egg (1 egg),breakfast,100.0,7.0,1.0,7.0,0.0,0.5,300.0,200.0,Protein,1,Kaggle Daily Food & Nutrition,century_egg_1_egg__breakfast,7.000000000000001,0.0,0.29473684210526313,0.042105263157894736,0.6631578947368421
Cereal (Frosted Flakes 1 cup),breakfast,130.0,2.0,31.0,0.0,1.0,11.0,190.0,0.0,Grain/Processed,1,Kaggle Daily Food & Nutrition,cereal_frosted_flakes_1_cup__breakfast,1.5384615384615385,0.7692307692307693,0.06060606060606061,0.9393939393939394,0.0
Cereal Bar (Fruit),breakfast,140.0,2.0,30.0,3.0,1.0,15.0,110.0,0.0,Snack/Processed,1,Kaggle Daily Food & Nutrition,cereal_bar_fruit__breakfast,1.4285714285714286,0.7142857142857143,0.05161290322580645,0.7741935483870968,0.17419354838709677
Cheese Danish,breakfast,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,Dessert,1,Kaggle Daily Food & Nutrition,cheese_danish__breakfast,2.0588235294117645,0.5882352941176471,0.08187134502923976,0.4444444444444444,0.47368421052631576
"Cheese, cottage, lowfat, 2% milkfat",breakfast,84.0,11.0,4.31,2.3,0.0,0.0,321.0,12.0,USDA,1,USDA FoodData Central (per 100 g),cheese_cottage_lowfat_2_milkfat__breakfast,13.095238095238097,0.0,0.5369782767878936,0.21039785208689282,0.25262387112521356
"Cheese, ricotta, whole milk",breakfast,157.0,7.81,6.86,11.0,0.0,0.0,105.0,48.0,USDA,1,USDA FoodData Central (per 100 g),cheese_ricotta_whole_milk__breakfast,4.97452229299363,0.0,0.19812278031456113,0.17402333840690004,0.6278538812785388
Cheesy Grits (1 cup),breakfast,210.0,6.0,34.0,6.0,2.0,1.0,550.0,20.0,Meal/Grain,1,Kaggle Daily Food & Nutrition,cheesy_grits_1_cup__breakfast,2.857142857142857,0.9523809523809524,0.11214953271028037,0.6355140186915887,0.2523364485981308
Chocolate Croissant,breakfast,350.0,6.0,40.0,19.0,3.0,15.0,300.0,40.0,Dessert,1,Kaggle Daily Food & Nutrition,chocolate_croissant__breakfast,1.7142857142857144,0.8571428571428572,0.0676056338028169,0.4507042253521127,0.48169014084507045
Chocolate Donut (1 medium),breakfast,300.0,4.0,35.0,17.0,2.0,18.0,230.0,20.0,Dessert,1,Kaggle Daily Food & Nutrition,chocolate_donut_1_medium__breakfast,1.3333333333333335,0.6666666666666667,0.05177993527508091,0.45307443365695793,0.49514563106796117
Coconut Flakes (1 tbsp topping),breakfast,35.0,0.3,1.5,3.3,0.7,0.5,1.0,0.0,Fruit,1,Kaggle Daily Food & Nutrition,coconut_flakes_1_tbsp_topping__breakfast,0.8571428571428572,2.0,0.032520325203252036,0.16260162601626016,0.8048780487804879
Coffee (with cream/sugar),breakfast,50.0,0.5,5.0,3.0,0.0,4.5,10.0,10.0,Beverage,2,Kaggle Daily Food & Nutrition,coffee_with_cream_sugar__breakfast,1.0,0.0,0.04081632653061224,0.40816326530612246,0.5510204081632653
Congee (1 cup plain),breakfast,130.0,2.5,28.0,1.0,1.0,0.5,300.0,0.0,Meal/Grain,1,Kaggle Daily Food & Nutrition,congee_1_cup_plain__breakfast,1.9230769230769231,0.7692307692307693,0.07633587786259542,0.8549618320610687,0.06870229007633588
"Cookies, oatmeal, soft, with raisins",breakfast,430.0,5.79,69.6,14.3,3.3,0.0,314.0,0.0,USDA,1,USDA FoodData Central (per 100 g),cookies_oatmeal_soft_with_raisins__breakfast,1.3465116279069769,0.7674418604651162,0.053827918003067916,0.6470506205550132,0.29912146144191887
Corn Flakes (1 cup),breakfast,100.0,2.0,24.0,0.0,1.0,3.0,200.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,corn_flakes_1_cup__breakfast,2.0,1.0,0.07692307692307693,0.9230769230769231,0.0
Cranberry Juice (1 cup),breakfast,130.0,0.0,33.0,0.0,0.0,30.0,10.0,0.0,Beverage,1,Kaggle Daily Food & Nutrition,cranberry_juice_1_cup__breakfast,0.0,0.0,0.0,1.0,0.0
Cream Cheese (2 tbsp),breakfast,100.0,2.0,2.0,10.0,0.0,1.0,90.0,30.0,Dairy,1,Kaggle Daily Food & Nutrition,cream_cheese_2_tbsp__breakfast,2.0,0.0,0.07547169811320754,0.07547169811320754,0.8490566037735849
Crepe (1 plain),breakfast,90.0,3.5,14.0,2.0,0.5,3.0,100.0,25.0,Grain,1,Kaggle Daily Food & Nutrition,crepe_1_plain__breakfast,3.888888888888889,0.5555555555555556,0.1590909090909091,0.6363636363636364,0.20454545454545456
Danish (Cheese 1 medium),breakfast,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,Dessert,1,Kaggle Daily Food & Nutrition,danish_cheese_1_medium__breakfast,2.0588235294117645,0.5882352941176471,0.08187134502923976,0.4444444444444444,0.47368421052631576
Egg Hoppers (Bittara Appa),breakfast,300.0,12.0,34.0,13.0,2.0,3.0,260.0,186.0,Sri Lankan - Hoppers,1,"Curated regional (Sri Lankan, per serving)",egg_hoppers_bittara_appa__breakfast,4.0,0.6666666666666667,0.15946843853820597,0.45182724252491696,0.38870431893687707
"Egg, white, dried",breakfast,376.0,79.9,6.02,0.65,0.0,0.0,1250.0,17.0,USDA,1,USDA FoodData Central (per 100 g),egg_white_dried__breakfast,21.250000000000004,0.0,0.9143707264040283,0.06889251280290674,0.016736760793064975
"Egg, white, raw, frozen, pasteurized",breakfast,48.0,10.1,0.74,0.16,0.0,0.0,144.0,3.0,USDA,1,USDA FoodData Central (per 100 g),egg_white_raw_frozen_pasteurized__breakfast,21.041666666666668,0.0,0.9017857142857143,0.06607142857142857,0.03214285714285715
"Egg, whole, dried",breakfast,575.0,48.1,1.87,39.8,0.0,0.0,485.0,1700.0,USDA,1,USDA FoodData Central (per 100 g),egg_whole_dried__breakfast,8.365217391304348,0.0,0.34475344036697253,0.013403096330275232,0.6418434633027523
"Egg, whole, raw, frozen, pasteurized",breakfast,150.0,12.3,0.91,10.3,0.0,0.0,121.0,420.0,USDA,1,USDA FoodData Central (per 100 g),egg_whole_raw_frozen_pasteurized__breakfast,8.200000000000001,0.0,0.3380513948055517,0.025010306444963583,0.6369382987494846
"Egg, yolk, dried",breakfast,654.0,34.2,1.07,55.5,0.0,0.0,149.0,2340.0,USDA,1,USDA FoodData Central (per 100 g),egg_yolk_dried__breakfast,5.229357798165138,0.0,0.2135564644540885,0.006681444940522651,0.7797620906053888
"Egg, yolk, raw, frozen, pasteurized",breakfast,296.0,15.6,0.59,25.1,0.0,0.0,66.0,1000.0,USDA,1,USDA FoodData Central (per 100 g),egg_yolk_raw_frozen_pasteurized__breakfast,5.27027027027027,0.0,0.2146838230234638,0.008119452281015618,0.7771967246955205
Eggo Waffle (2 waffles),breakfast,180.0,4.0,30.0,5.0,1.0,4.0,400.0,0.0,Grain/Processed,1,Kaggle Daily Food & Nutrition,eggo_waffle_2_waffles__breakfast,2.2222222222222223,0.5555555555555556,0.08839779005524862,0.6629834254143646,0.24861878453038674
Eggs Benedict (1 serving),breakfast,600.0,25.0,30.0,40.0,3.0,4.0,1100.0,450.0,Meal/Protein,1,Kaggle Daily Food & Nutrition,eggs_benedict_1_serving__breakfast,4.166666666666666,0.5,0.1724137931034483,0.20689655172413793,0.6206896551724138
"Eggs, Grade A, Large, egg white",breakfast,55.0,10.7,2.36,0.0,0.0,0.0,0.0,0.0,USDA,1,USDA FoodData Central (per 100 g),eggs_grade_a_large_egg_white__breakfast,19.454545454545453,0.0,0.8192955589586524,0.18070444104134764,0.0
"Eggs, Grade A, Large, egg whole",breakfast,148.0,12.4,0.96,9.96,0.0,0.0,129.0,411.0,USDA,1,USDA FoodData Central (per 100 g),eggs_grade_a_large_egg_whole__breakfast,8.378378378378379,0.0,0.3466592116298574,0.02683813251327928,0.6265026558568634
"Eggs, Grade A, Large, egg yolk",breakfast,334.0,16.2,1.02,28.8,0.0,0.0,0.0,0.0,USDA,1,USDA FoodData Central (per 100 g),eggs_grade_a_large_egg_yolk__breakfast,4.850299401197605,0.0,0.19751280175566935,0.012435991221653257,0.7900512070226774
English Muffin (whole wheat),breakfast,134.0,6.0,26.0,1.0,4.4,1.0,210.0,0.0,Grain,2,Kaggle Daily Food & Nutrition,english_muffin_whole_wheat__breakfast,4.477611940298507,3.2835820895522394,0.17518248175182483,0.7591240875912408,0.06569343065693431
Granola (1/4 cup topping),breakfast,120.0,3.0,15.0,6.0,3.0,7.0,20.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,granola_1_4_cup_topping__breakfast,2.5,2.5,0.09523809523809523,0.47619047619047616,0.42857142857142855
Grapefruit (1/2 medium),breakfast,52.0,1.1,13.2,0.2,2.0,8.5,0.0,0.0,Fruit,1,Kaggle Daily Food & Nutrition,grapefruit_1_2_medium__breakfast,2.1153846153846154,3.8461538461538463,0.0745762711864407,0.8949152542372882,0.03050847457627119
"Grapefruit juice, white, canned or bottled, unsweetened",breakfast,37.0,0.55,7.59,0.7,0.2,0.0,1.0,0.0,USDA,1,USDA FoodData Central (per 100 g),grapefruit_juice_white_canned_or_bottled_unsweetened__breakfast,1.4864864864864866,0.5405405405405406,0.05661348430262481,0.7812660833762224,0.16212043232115286
Grits (1 cup cooked),breakfast,150.0,3.0,32.0,1.0,2.0,0.5,320.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,grits_1_cup_cooked__breakfast,2.0,1.3333333333333335,0.08053691275167785,0.8590604026845637,0.06040268456375839
Ham & Cheese Croissant,breakfast,400.0,15.0,35.0,22.0,2.0,6.0,750.0,60.0,Meal/Processed,1,Kaggle Daily Food & Nutrition,ham_cheese_croissant__breakfast,3.75,0.5,0.1507537688442211,0.35175879396984927,0.49748743718592964
Hash Browns (1 cup),breakfast,330.0,3.0,38.0,19.0,3.0,1.0,550.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,hash_browns_1_cup__breakfast,0.9090909090909091,0.9090909090909091,0.03582089552238806,0.4537313432835821,0.5104477611940299
Hollandaise Sauce (2 tbsp),breakfast,110.0,1.0,0.5,12.0,0.0,0.2,150.0,50.0,Condiment,1,Kaggle Daily Food & Nutrition,hollandaise_sauce_2_tbsp__breakfast,0.9090909090909091,0.0,0.03508771929824561,0.017543859649122806,0.9473684210526315
Honey (1 tbsp),breakfast,64.0,0.1,17.3,0.0,0.0,17.2,1.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,honey_1_tbsp__breakfast,0.15625,0.0,0.005747126436781609,0.9942528735632183,0.0
Honey (1 tsp drizzle),breakfast,21.0,0.0,5.8,0.0,0.0,5.8,0.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,honey_1_tsp_drizzle__breakfast,0.0,0.0,0.0,1.0,0.0
Idli,breakfast,180.0,6.0,36.0,1.0,2.0,0.5,220.0,0.0,Sri Lankan - Steamed Rice Cake,1,"Curated regional (Sri Lankan, per serving)",idli__breakfast,3.3333333333333335,1.1111111111111112,0.13559322033898305,0.8135593220338984,0.05084745762711865
Jelly (1 tbsp grape),breakfast,50.0,0.0,13.0,0.0,0.1,12.0,5.0,0.0,Condiment,2,Kaggle Daily Food & Nutrition,jelly_1_tbsp_grape__breakfast,0.0,0.2,0.0,1.0,0.0
Kefir (Plain 1 cup),breakfast,104.0,10.0,10.0,2.5,0.0,9.0,100.0,10.0,Beverage/Dairy,1,Kaggle Daily Food & Nutrition,kefir_plain_1_cup__breakfast,9.615384615384617,0.0,0.3902439024390244,0.3902439024390244,0.21951219512195122
Kola Kanda (Herbal Porridge),breakfast,120.0,3.0,20.0,3.0,3.0,2.0,90.0,0.0,Sri Lankan - Porridge,1,"Curated regional (Sri Lankan, per serving)",kola_kanda_herbal_porridge__breakfast,2.5,2.5,0.10084033613445378,0.6722689075630253,0.226890756302521
Labneh (2 tbsp),breakfast,60.0,4.0,2.0,4.0,0.0,2.0,80.0,15.0,Dairy,1,Kaggle Daily Food & Nutrition,labneh_2_tbsp__breakfast,6.666666666666667,0.0,0.26666666666666666,0.13333333333333333,0.6
Manakeesh (Za'atar 1 small),breakfast,300.0,7.0,45.0,10.0,4.0,2.0,500.0,0.0,Meal/Vegetarian,1,Kaggle Daily Food & Nutrition,manakeesh_za_atar_1_small__breakfast,2.3333333333333335,1.3333333333333335,0.09395973154362416,0.6040268456375839,0.30201342281879195
Maple Syrup (1 tbsp),breakfast,52.0,0.0,13.5,0.0,0.0,12.0,1.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,maple_syrup_1_tbsp__breakfast,0.0,0.0,0.0,1.0,0.0
Maple Syrup (2 tbsp),breakfast,104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,Condiment,2,Kaggle Daily Food & Nutrition,maple_syrup_2_tbsp__breakfast,0.0,0.0,0.0,1.0,0.0
Media Luna (1 pastry),breakfast,190.0,4.0,25.0,8.0,1.0,9.0,150.0,25.0,Grain,1,Kaggle Daily Food & Nutrition,media_luna_1_pastry__breakfast,2.1052631578947367,0.5263157894736842,0.0851063829787234,0.5319148936170213,0.3829787234042553
"Milk (2%, 1 cup)",breakfast,122.0,8.0,12.0,5.0,0.0,12.0,100.0,20.0,Dairy,1,Kaggle Daily Food & Nutrition,milk_2_1_cup__breakfast,6.557377049180328,0.0,0.256,0.384,0.36
Milk Rice (Kiribath),breakfast,320.0,5.0,48.0,12.0,2.0,1.0,240.0,0.0,Sri Lankan - Rice,1,"Curated regional (Sri Lankan, per serving)",milk_rice_kiribath__breakfast,1.5625,0.625,0.0625,0.6,0.3375
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",breakfast,43.0,3.38,5.19,0.95,0.0,0.0,39.0,5.0,USDA,1,USDA FoodData Central (per 100 g),milk_lowfat_fluid_1_milkfat_with_added_vitamin_a_and_vitamin__breakfast,7.8604651162790695,0.0,0.3156665888395984,0.48470698108802246,0.19962643007237915
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",breakfast,34.0,3.43,4.89,0.08,0.0,0.0,41.0,3.0,USDA,1,USDA FoodData Central (per 100 g),milk_nonfat_fluid_with_added_vitamin_a_and_vitamin_d_fat_fre__breakfast,10.088235294117649,0.0,0.4035294117647059,0.5752941176470587,0.021176470588235293
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",breakfast,50.0,3.35,4.91,1.9,0.0,0.0,39.0,8.0,USDA,1,USDA FoodData Central (per 100 g),milk_reduced_fat_fluid_2_milkfat_with_added_vitamin_a_and_vi__breakfast,6.7,0.0,0.2672516952532908,0.3917032309533307,0.3410450737933785
"Milk, whole, 3.25% milkfat, with added vitamin D",breakfast,60.0,3.28,4.67,3.2,0.0,0.0,38.0,12.0,USDA,1,USDA FoodData Central (per 100 g),milk_whole_3_25_milkfat_with_added_vitamin_d__breakfast,5.466666666666666,0.0,0.21650165016501652,0.3082508250825083,0.4752475247524753
Muffin (Blueberry 1 large),breakfast,380.0,5.0,55.0,16.0,2.0,30.0,350.0,50.0,Grain/Dessert,2,Kaggle Daily Food & Nutrition,muffin_blueberry_1_large__breakfast,1.3157894736842104,0.5263157894736842,0.052083333333333336,0.5729166666666666,0.375
Nutella (1 tbsp),breakfast,100.0,1.5,11.0,6.0,1.0,10.0,10.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,nutella_1_tbsp__breakfast,1.5,1.0,0.057692307692307696,0.4230769230769231,0.5192307692307693
Nutritional Yeast (1 tbsp),breakfast,20.0,3.0,2.0,0.0,1.0,0.0,10.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,nutritional_yeast_1_tbsp__breakfast,15.0,5.0,0.6,0.4,0.0
Oat Milk (1 cup),breakfast,120.0,3.0,16.0,5.0,2.0,7.0,100.0,0.0,Beverage/Dairy-Alt,1,Kaggle Daily Food & Nutrition,oat_milk_1_cup__breakfast,2.5,1.6666666666666667,0.09917355371900827,0.5289256198347108,0.371900826446281
Oatmeal (1 cup cooked),breakfast,160.0,6.0,28.0,3.0,4.0,1.0,2.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,oatmeal_1_cup_cooked__breakfast,3.75,2.5,0.147239263803681,0.6871165644171779,0.1656441717791411
Olive Oil (1 tbsp on bread),breakfast,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,olive_oil_1_tbsp_on_bread__breakfast,0.0,0.0,0.0,0.0,1.0
Olives (5 side),breakfast,35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,Fruit,1,Kaggle Daily Food & Nutrition,olives_5_side__breakfast,0.5714285714285714,1.4285714285714286,0.022038567493112952,0.11019283746556474,0.8677685950413224
Orange Juice (1 cup),breakfast,112.0,1.7,25.8,0.5,0.7,20.8,2.0,0.0,Beverage,2,Kaggle Daily Food & Nutrition,orange_juice_1_cup__breakfast,1.5178571428571428,0.625,0.059388646288209605,0.9013100436681223,0.039301310043668124
Pancakes (2 medium),breakfast,180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,Grain,2,Kaggle Daily Food & Nutrition,pancakes_2_medium__breakfast,2.7777777777777777,0.5555555555555556,0.10810810810810811,0.6486486486486487,0.24324324324324326
Pittu with Coconut Milk,breakfast,380.0,7.0,60.0,13.0,4.0,2.0,200.0,0.0,Sri Lankan - Steamed Rice Flour,1,"Curated regional (Sri Lankan, per serving)",pittu_with_coconut_milk__breakfast,1.8421052631578945,1.0526315789473684,0.07272727272727272,0.6233766233766234,0.3038961038961039
Plain Hoppers (Appa),breakfast,240.0,4.0,46.0,4.0,1.5,4.0,150.0,0.0,Sri Lankan - Hoppers,1,"Curated regional (Sri Lankan, per serving)",plain_hoppers_appa__breakfast,1.6666666666666667,0.625,0.06779661016949153,0.7796610169491526,0.15254237288135594
Poached Egg (1 large),breakfast,72.0,6.3,0.4,4.8,0.0,0.4,140.0,185.0,Protein,1,Kaggle Daily Food & Nutrition,poached_egg_1_large__breakfast,8.75,0.0,0.36,0.022857142857142857,0.6171428571428571
Pol Roti (Coconut Roti),breakfast,340.0,6.0,44.0,15.0,5.0,2.0,320.0,0.0,Sri Lankan - Flatbread,1,"Curated regional (Sri Lankan, per serving)",pol_roti_coconut_roti__breakfast,1.7647058823529411,1.4705882352941175,0.07164179104477612,0.5253731343283582,0.40298507462686567
Pork Floss (1 tbsp),breakfast,50.0,4.0,3.0,2.0,0.0,2.5,150.0,10.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,pork_floss_1_tbsp__breakfast,8.0,0.0,0.34782608695652173,0.2608695652173913,0.391304347826087
"Pork, cured, bacon, cooked, restaurant",breakfast,500.0,40.9,2.1,36.5,0.0,0.0,1830.0,0.0,USDA,1,USDA FoodData Central (per 100 g),pork_cured_bacon_cooked_restaurant__breakfast,8.18,0.0,0.32687312687312686,0.016783216783216783,0.6563436563436563
Rice Krispies (1.5 cups),breakfast,160.0,3.0,37.0,0.5,0.5,4.0,290.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,rice_krispies_1_5_cups__breakfast,1.875,0.3125,0.0729483282674772,0.8996960486322189,0.02735562310030395
Sausage Link (1 cooked),breakfast,85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,Protein/Meat,2,Kaggle Daily Food & Nutrition,sausage_link_1_cooked__breakfast,5.88235294117647,0.0,0.22988505747126436,0.04597701149425287,0.7241379310344828
"Sausage, Italian, pork, mild, cooked, pan-fried",breakfast,322.0,18.2,2.15,26.2,0.0,0.0,766.0,80.0,USDA,1,USDA FoodData Central (per 100 g),sausage_italian_pork_mild_cooked_pan_fried__breakfast,5.6521739130434785,0.0,0.22950819672131148,0.02711223203026482,0.7433795712484237
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",breakfast,328.0,13.3,3.37,28.7,0.0,0.0,866.0,61.0,USDA,1,USDA FoodData Central (per 100 g),sausage_breakfast_sausage_beef_pre_cooked_unprepared__breakfast,4.054878048780488,0.0,0.16370238168502677,0.041479475660040614,0.7948181426549326
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",breakfast,346.0,19.3,2.63,28.1,0.0,0.0,983.0,107.0,USDA,1,USDA FoodData Central (per 100 g),sausage_pork_chorizo_link_or_ground_cooked_pan_fried__breakfast,5.578034682080925,0.0,0.2266455287417063,0.030884857025424223,0.7424696142328695
"Sausage, turkey, breakfast links, mild, raw",breakfast,169.0,16.7,0.93,10.4,0.0,0.0,599.0,78.0,USDA,1,USDA FoodData Central (per 100 g),sausage_turkey_breakfast_links_mild_raw__breakfast,9.881656804733728,0.0,0.4070192542042408,0.022666341701194248,0.570314404094565
Scrambled Eggs (2 large),breakfast,180.0,12.0,2.0,14.0,0.0,1.0,180.0,370.0,Protein/Dairy,1,Kaggle Daily Food & Nutrition,scrambled_eggs_2_large__breakfast,6.666666666666667,0.0,0.26373626373626374,0.04395604395604396,0.6923076923076923
Smoothie (Fruit & Yogurt),breakfast,280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,Beverage/Meal,2,Kaggle Daily Food & Nutrition,smoothie_fruit_yogurt__breakfast,4.285714285714286,2.5,0.16271186440677965,0.7457627118644068,0.09152542372881356
Soy Milk (Original 1 cup),breakfast,110.0,8.0,9.0,4.5,2.0,6.0,125.0,0.0,Beverage/Dairy-Alt,1,Kaggle Daily Food & Nutrition,soy_milk_original_1_cup__breakfast,7.2727272727272725,1.8181818181818181,0.29493087557603687,0.3317972350230415,0.37327188940092165
Soyrizo (2 oz),breakfast,140.0,10.0,6.0,9.0,3.0,2.0,450.0,0.0,Protein/Vegetarian,1,Kaggle Daily Food & Nutrition,soyrizo_2_oz__breakfast,7.142857142857142,2.142857142857143,0.27586206896551724,0.16551724137931034,0.5586206896551724
String Hoppers (Idiyappam),breakfast,350.0,7.0,76.0,1.5,3.0,0.5,180.0,0.0,Sri Lankan - Rice Flour,1,"Curated regional (Sri Lankan, per serving)",string_hoppers_idiyappam__breakfast,2.0,0.8571428571428572,0.08104196816208394,0.8798842257597684,0.03907380607814761
Thosai (Dosa),breakfast,260.0,8.0,46.0,5.0,3.0,1.0,300.0,0.0,Sri Lankan - Fermented Batter,1,"Curated regional (Sri Lankan, per serving)",thosai_dosa__breakfast,3.076923076923077,1.153846153846154,0.12260536398467432,0.7049808429118773,0.1724137931034483
Tofu Scramble,breakfast,250.0,20.0,8.0,16.0,4.0,3.0,300.0,0.0,Meal/Vegetarian,1,Kaggle Daily Food & Nutrition,tofu_scramble__breakfast,8.0,1.6,0.3125,0.125,0.5625
Turkey Bacon (2 slices),breakfast,70.0,6.0,1.0,5.0,0.0,0.5,360.0,30.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,turkey_bacon_2_slices__breakfast,8.571428571428571,0.0,0.3287671232876712,0.0547945205479452,0.6164383561643836
Turkey Sausage (1 patty),breakfast,70.0,9.0,1.0,4.0,0.0,0.5,280.0,35.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,turkey_sausage_1_patty__breakfast,12.857142857142856,0.0,0.47368421052631576,0.05263157894736842,0.47368421052631576
Waffles (2 homemade),breakfast,220.0,6.0,28.0,9.0,1.5,3.0,420.0,45.0,Grain,2,Kaggle Daily Food & Nutrition,waffles_2_homemade__breakfast,2.727272727272727,0.6818181818181818,0.11059907834101383,0.5161290322580645,0.37327188940092165
White Bread (1 slice),breakfast,70.0,2.0,13.0,1.0,0.6,1.2,140.0,0.0,Grain,2,Kaggle Daily Food & Nutrition,white_bread_1_slice__breakfast,2.857142857142857,0.8571428571428572,0.11594202898550725,0.7536231884057971,0.13043478260869565
Whole Wheat Toast (1 slice),breakfast,80.0,4.0,14.0,1.0,2.0,2.0,140.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,whole_wheat_toast_1_slice__breakfast,5.0,2.5,0.19753086419753085,0.691358024691358,0.1111111111111111
"Yogurt, Greek, plain, nonfat",breakfast,61.0,10.3,3.64,0.37,0.0,0.0,36.0,5.0,USDA,1,USDA FoodData Central (per 100 g),yogurt_greek_plain_nonfat__breakfast,16.885245901639344,0.0,0.6972414960230158,0.24640379082755118,0.056354713149433064
